# 路径规划结果
# 总步数: 251
# 地图分辨率: 0.05 m/pixel
# 格式: 像素坐标(x,y) -> 世界坐标(world_x, world_y)

 238. 像素( 838,  269) -> 世界(  -6.455,    4.481)
 239. 像素( 837,  270) -> 世界(  -6.505,    4.431)
 240. 像素( 836,  270) -> 世界(  -6.555,    4.431)
 241. 像素( 835,  270) -> 世界(  -6.605,    4.431)
 242. 像素( 834,  271) -> 世界(  -6.655,    4.381)
 243. 像素( 833,  271) -> 世界(  -6.705,    4.381)
 244. 像素( 832,  272) -> 世界(  -6.755,    4.331)
 245. 像素( 831,  272) -> 世界(  -6.805,    4.331)
 246. 像素( 830,  273) -> 世界(  -6.855,    4.281)
 247. 像素( 829,  273) -> 世界(  -6.905,    4.281)
 248. 像素( 828,  274) -> 世界(  -6.955,    4.231)
 249. 像素( 827,  274) -> 世界(  -7.005,    4.231)
 250. 像素( 826,  275) -> 世界(  -7.055,    4.181)
 251. 像素( 825,  275) -> 世界(  -7.105,    4.181)
